id,group,expected_tool,predicted_tool,error_type,query,expected,prediction,schema_errors
fresh20260626_002,files_settings,ACTION_CREATE_DOCUMENT,ACTION_INSERT_DOCUMENT,wrong_tool,Lưu một bảng tính mới tên ngan_sach_gia_dinh.xlsx,"{""arguments"": {""initial_name"": ""ngan_sach_gia_dinh.xlsx"", ""mime_type"": ""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet""}, ""requires_confirmation"": false, ""tool"": ""ACTION_CREATE_DOCUMENT""}","{""arguments"": {""filename"": ""ngan_sach_gia_dinh.xlsx"", ""mime_type"": ""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet""}, ""requires_confirmation"": false, ""tool"": ""ACTION_INSERT_DOCUMENT""}",unknown tool: ACTION_INSERT_DOCUMENT
fresh20260626_006,contacts,ACTION_EDIT_CONTACT,ACTION_EDIT_CONTACT,argument_mismatch,Cập nhật contact URI contacts://team/linh-09 với email mới,"{""arguments"": {""contact_info"": {""email"": ""linh09@work.vn""}, ""contact_uri"": ""contacts://team/linh-09""}, ""requires_confirmation"": true, ""tool"": ""ACTION_EDIT_CONTACT""}","{""arguments"": {""contact_info"": {""email"": ""linh@example.com""}, ""contact_uri"": ""contacts://team/linh-09""}, ""requires_confirmation"": true, ""tool"": ""ACTION_EDIT_CONTACT""}",
fresh20260626_008,contacts,ACTION_EDIT_CONTACT,ACTION_EDIT_CONTACT,argument_mismatch,Tôi muốn chỉnh contact contacts://family/me-hoa,"{""arguments"": {""contact_uri"": ""contacts://family/me-hoa""}, ""requires_confirmation"": true, ""tool"": ""ACTION_EDIT_CONTACT""}","{""arguments"": {""contact_uri"": ""family#me-hoa""}, ""requires_confirmation"": true, ""tool"": ""ACTION_EDIT_CONTACT""}",
fresh20260626_011,files_settings,ACTION_GET_CONTENT,ACTION_GET_RINGTONE,wrong_tool,"Mở bộ chọn âm thanh, tôi cần một file wav","{""arguments"": {""mime_type"": ""audio/wav""}, ""requires_confirmation"": false, ""tool"": ""ACTION_GET_CONTENT""}","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_GET_RINGTONE""}",
fresh20260626_013,files_settings,ACTION_GET_RINGTONE,open_settings,wrong_tool,Vào màn hình chọn âm báo cuộc gọi,"{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_GET_RINGTONE""}","{""arguments"": {""setting_type"": ""audio""}, ""requires_confirmation"": false, ""tool"": ""open_settings""}",setting_type is outside enum
fresh20260626_014,files_settings,ACTION_GET_RINGTONE,ACTION_SET_RINGTONE,wrong_tool,Cho tôi đổi ringtone mặc định,"{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_GET_RINGTONE""}","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_RINGTONE""}",unknown tool: ACTION_SET_RINGTONE
fresh20260626_015,files_settings,ACTION_GET_RINGTONE,ACTION_SHOW_ALARMS,wrong_tool,Vào danh sách âm báo để chọn chuông mới,"{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_GET_RINGTONE""}","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_SHOW_ALARMS""}",
fresh20260626_022,contacts,ACTION_INSERT_CONTACT,get_contact_info,wrong_tool,"Lưu danh bạ cho Trương Minh Nhật, email nhat.truong@example.vn","{""arguments"": {""contact_info"": {""email"": ""nhat.truong@example.vn"", ""name"": ""Trương Minh Nhật""}}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_CONTACT""}","{""arguments"": {""key"": ""email"", ""name"": ""Trương Minh Nhật""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}",
fresh20260626_024,contacts,ACTION_INSERT_CONTACT,ACTION_INSERT_CONTACT,argument_mismatch,"Thêm Nguyễn Phúc Khang vào danh bạ, công ty Delta Lab, địa chỉ 9 Nguyễn Huệ","{""arguments"": {""contact_info"": {""address"": ""9 Nguyễn Huệ"", ""company"": ""Delta Lab"", ""name"": ""Nguyễn Phúc Khang""}}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_CONTACT""}","{""arguments"": {""contact_info"": {""address"": ""9 Nguyễn Huệ"", ""company"": ""Delta Lab"", ""name"": ""Khang"", ""phone"": ""0912345678""}}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_CONTACT""}",
fresh20260626_025,alarm_calendar,ACTION_INSERT_EVENT,ACTION_INSERT_EVENT,argument_mismatch,Thêm lịch demo sản phẩm thứ Năm 14:15 tại phòng C4,"{""arguments"": {""DESCRIPTION"": ""demo sản phẩm"", ""EVENT_LOCATION"": ""phòng C4"", ""EXTRA_EVENT_BEGIN_TIME"": ""Thursday 14:15"", ""TITLE"": ""demo sản phẩm""}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_EVENT""}","{""arguments"": {""DESCRIPTION"": ""demo sản phẩm"", ""EVENT_LOCATION"": ""phòng C4"", ""EXTRA_EVENT_BEGIN_TIME"": ""Wednesday 14:15"", ""TITLE"": ""demo sản phẩm""}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_EVENT""}",
